[PERF_PROFILE] cyc=1000000 itlb_lookups=0 itlb_misses=0 ptw_walks_itlb=0 ptw_walks_dtlb=0 ptw_busy_cycles=0 ptw_faults=0 fe_stall_total=13388 fe_stall_xlate=0 fe_stall_icache=10387 fe_stall_backend=3001 flush_commit=7563 flush_bru=0 flush_satp=0 dtlb_lookups=0 dtlb_misses=0 dcache_accesses=437077 dcache_misses=993
[PERF_PROFILE] cyc=2000000 itlb_lookups=34 itlb_misses=29 ptw_walks_itlb=1 ptw_walks_dtlb=0 ptw_busy_cycles=28 ptw_faults=0 fe_stall_total=139663 fe_stall_xlate=34 fe_stall_icache=84799 fe_stall_backend=54830 flush_commit=20603 flush_bru=0 flush_satp=2 dtlb_lookups=0 dtlb_misses=0 dcache_accesses=760310 dcache_misses=23279
[PERF_PROFILE] cyc=3000000 itlb_lookups=393927 itlb_misses=217 ptw_walks_itlb=9 ptw_walks_dtlb=38 ptw_busy_cycles=760850 ptw_faults=3 fe_stall_total=547212 fe_stall_xlate=393876 fe_stall_icache=89501 fe_stall_backend=63835 flush_commit=29821 flush_bru=0 flush_satp=4 dtlb_lookups=178347 dtlb_misses=268 dcache_accesses=987409 dcache_misses=96870
[PERF_PROFILE] cyc=4000000 itlb_lookups=890943 itlb_misses=217 ptw_walks_itlb=9 ptw_walks_dtlb=38 ptw_busy_cycles=1760850 ptw_faults=3 fe_stall_total=1044228 fe_stall_xlate=890892 fe_stall_icache=89501 fe_stall_backend=63835 flush_commit=38855 flush_bru=0 flush_satp=4 dtlb_lookups=409338 dtlb_misses=268 dcache_accesses=1135547 dcache_misses=96875
[PERF_PROFILE] cyc=5000000 itlb_lookups=1386775 itlb_misses=399 ptw_walks_itlb=16 ptw_walks_dtlb=837 ptw_busy_cycles=2747607 ptw_faults=3 fe_stall_total=1540060 fe_stall_xlate=1386724 fe_stall_icache=89501 fe_stall_backend=63835 flush_commit=54076 flush_bru=0 flush_satp=4 dtlb_lookups=633879 dtlb_misses=2827 dcache_accesses=1276280 dcache_misses=97384
[PERF_PROFILE] cyc=6000000 itlb_lookups=1966391 itlb_misses=168457 ptw_walks_itlb=5717 ptw_walks_dtlb=14671 ptw_busy_cycles=3451540 ptw_faults=3 fe_stall_total=2123204 fe_stall_xlate=1965384 fe_stall_icache=89967 fe_stall_backend=67853 flush_commit=68430 flush_bru=0 flush_satp=5 dtlb_lookups=1139969 dtlb_misses=346690 dcache_accesses=1360444 dcache_misses=97436
[PERF_PROFILE] cyc=7000000 itlb_lookups=2200808 itlb_misses=168486 ptw_walks_itlb=5718 ptw_walks_dtlb=14695 ptw_busy_cycles=3667751 ptw_faults=3 fe_stall_total=2888239 fe_stall_xlate=2096192 fe_stall_icache=158988 fe_stall_backend=633059 flush_commit=69704 flush_bru=0 flush_satp=5 dtlb_lookups=1494455 dtlb_misses=346823 dcache_accesses=1424506 dcache_misses=97474
[PERF_PROFILE] cyc=8000000 itlb_lookups=2337171 itlb_misses=168486 ptw_walks_itlb=5718 ptw_walks_dtlb=14696 ptw_busy_cycles=3667765 ptw_faults=3 fe_stall_total=3751876 fe_stall_xlate=2096192 fe_stall_icache=249897 fe_stall_backend=1405787 flush_commit=69704 flush_bru=0 flush_satp=5 dtlb_lookups=1858106 dtlb_misses=346838 dcache_accesses=1424506 dcache_misses=97474
[PERF_PROFILE] cyc=9000000 itlb_lookups=2473536 itlb_misses=168486 ptw_walks_itlb=5718 ptw_walks_dtlb=14697 ptw_busy_cycles=3667779 ptw_faults=3 fe_stall_total=4615511 fe_stall_xlate=2096192 fe_stall_icache=340807 fe_stall_backend=2178512 flush_commit=69704 flush_bru=0 flush_satp=5 dtlb_lookups=2221761 dtlb_misses=346853 dcache_accesses=1424506 dcache_misses=97474
[PERF_PROFILE] cyc=10000000 itlb_lookups=2609900 itlb_misses=168486 ptw_walks_itlb=5718 ptw_walks_dtlb=14699 ptw_busy_cycles=3667807 ptw_faults=3 fe_stall_total=5479146 fe_stall_xlate=2096192 fe_stall_icache=431717 fe_stall_backend=2951237 flush_commit=69704 flush_bru=0 flush_satp=5 dtlb_lookups=2585427 dtlb_misses=346883 dcache_accesses=1424506 dcache_misses=97474
[PERF_PROFILE] cyc=11000000 itlb_lookups=2746264 itlb_misses=168486 ptw_walks_itlb=5718 ptw_walks_dtlb=14700 ptw_busy_cycles=3667821 ptw_faults=3 fe_stall_total=6342783 fe_stall_xlate=2096192 fe_stall_icache=522626 fe_stall_backend=3723965 flush_commit=69704 flush_bru=0 flush_satp=5 dtlb_lookups=2949079 dtlb_misses=346898 dcache_accesses=1424506 dcache_misses=97474
